Error results for RHC,
2632.543,589.702
2632.543,589.702
2632.543,589.702
2632.535,589.705
2632.535,589.705
2678.445,581.553
2655.443,610.219
2632.536,589.705
2632.535,589.705
2638.656,583.936
2632.53,589.71
2632.53,589.71
2632.533,589.709
2632.53,589.71
2632.49,589.689
2632.49,589.689
2632.49,589.689
2632.49,589.689
2632.49,589.689
2662.938,582.607
2632.49,589.689
2632.49,589.689
2632.49,589.689
2632.49,589.689
2632.598,589.691
2632.49,589.689
2658.925,593.53
2632.418,589.71
2637.268,588.228
2632.418,589.71
2632.42,589.71
2632.418,589.71
2632.418,589.71
2632.418,589.71
2632.344,589.708
2632.344,589.708
2632.384,589.697
2632.344,589.708
2632.344,589.708
2632.367,589.811
2632.344,589.708
2632.314,589.697
2632.314,589.697
2632.314,589.697
2632.348,589.794
2632.329,589.695
2632.357,589.659
2632.314,589.697
2632.314,589.697
4267.942,1013.664
2632.314,589.697
2632.314,589.697
2632.314,589.697
2632.342,589.689
2632.314,589.697
2632.314,589.697
2632.314,589.697
2632.314,589.697
2632.277,589.697
2632.309,589.651
2632.277,589.697
2632.277,589.697
2632.277,589.697
2632.303,589.707
2632.277,589.697
2636.524,589.053
2632.277,589.697
2632.277,589.697
2632.277,589.697
2632.277,589.697
2632.331,589.612
2632.277,589.697
2632.247,589.598
2632.268,589.136
2632.784,589.082
2632.519,589.658
2632.247,589.598
2632.306,589.744
2632.247,589.598
2634.772,592.257
2631.775,589.942
2631.775,589.942
2631.775,589.942
2631.775,589.942
2631.775,589.942
2631.775,589.942
2631.775,589.942
2631.807,589.962
2631.775,589.942
2631.775,589.942
2631.745,589.935
2631.745,589.935
2631.745,589.935
2631.745,589.935
2631.777,590.036
2631.635,589.901
2631.635,589.901
2631.635,589.901
2631.68,589.945
2631.733,588.795
2631.643,589.902
2631.635,589.901
2631.635,589.901
2631.635,589.901
2631.94,589.413
2631.635,589.901
2631.635,589.901
2631.635,589.901
2631.605,589.941
2631.618,589.864
2631.605,589.941
2631.672,590.122
2631.605,589.941
2631.605,589.941
2631.605,589.941
2631.605,589.941
2631.578,589.877
2631.578,589.877
2631.578,589.877
2631.578,589.877
2631.578,589.877
2631.548,589.955
2631.548,590.041
2631.546,590.101
2631.546,590.101
2631.571,590.185
2631.532,590.097
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.532,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.518,590.074
2631.717,590.251
2631.518,590.074
2631.518,590.074
2631.52,590.091
2631.518,590.074
2631.518,590.074
2631.494,590.043
2631.49,590.059
2631.49,590.059
2631.655,590.229
2685.929,581.873
2631.491,590.049
2631.49,590.059
2631.49,590.059
2631.49,590.059
2631.49,590.059
2631.49,590.059
2631.49,590.059
2631.49,590.059
2631.408,590.031
2631.408,590.031
2631.417,590.038
2631.408,590.03
2631.408,590.031
2631.408,590.031
2631.408,590.031
2631.408,590.031
2631.408,590.031
2626.335,592.946
2626.335,592.946
2626.335,592.946
2625.501,591.136
2625.578,591.148
2625.501,591.136
2625.501,591.136
2625.501,591.136
2625.525,591.163
2623.838,591.917
2623.838,591.917
2629.299,587.66
2623.038,591.796
2623.038,591.796
2623.038,591.796
2623.038,591.796
2623.19,591.682
2623.042,591.795
2623.019,591.789
2623.453,591.779
2623.019,591.789
2623.007,591.781
2623.114,591.787
2628.029,592.205
2623.223,591.294
2623.007,591.781
2623.047,591.895
2623.007,591.781
2624.621,592.456
2627.373,592.171
2623.007,591.781
2623.007,591.781
2623.007,591.781
2623.007,591.781
2623.007,591.781
2623.011,591.781
2623.007,591.781
2689.759,627.351
2623.007,591.781
2623,591.782
2625.929,592.055
2623,591.782
2623,591.782
2618.308,590.371
2618.308,590.371
2618.308,590.371
2618.109,590.349
2618.109,590.349
2618.063,590.329
2618.063,590.329
2618.063,590.329
2618.937,590.462
2618.063,590.329
2618.063,590.329
2617.775,590.097
2617.775,590.097
2617.775,590.097
2617.768,590.098
2618.658,589.393
2617.763,590.056
2647.572,607.215
2805.875,686.576
2617.763,590.056
2617.763,590.056
2617.763,590.056
2617.763,590.056
2617.787,590.158
2617.763,590.056
2617.763,590.056
2617.763,590.056
2617.763,590.056
2617.763,590.056
2618.112,590.417
2625.697,592.485
2617.863,590.092
2617.763,590.056
2617.792,589.639
2617.667,590.036
2617.667,590.036
2617.683,590.023
2617.667,590.036
2634.885,592.347
2617.562,590.108
2617.562,590.108
2617.581,590.112
2617.562,590.108
2618.764,592.522
2821.563,694.016
2617.537,590.068
2617.537,590.068
2617.893,590.108
2617.537,590.068
2617.537,590.068
2617.982,590.128
2617.537,590.068
2617.537,590.068
2617.537,590.068
2617.537,590.068
3525.471,782.998
2617.537,590.068
2617.537,590.068
2617.537,590.068
2617.869,590.067
2628.429,593.36
2665.885,579.536
2617.603,590.087
2617.529,590.027
2617.529,590.027
2617.529,590.027
2617.529,590.027
2617.529,590.027
2617.529,590.027
2617.776,590.015
2617.599,590.055
2617.492,590.014
2617.492,590.014
2617.492,590.014
2617.344,589.967
2617.555,589.835
2617.344,589.967
2617.344,589.967
2619.262,590.913
2617.546,589.902
2617.344,589.976
2617.344,589.976
2617.344,589.976
2617.344,589.976
2617.344,589.976
2617.352,589.926
2624.9,589.479
2617.344,589.976
2656.751,597.005
2617.344,589.976
2617.297,589.957
2617.297,589.957
2617.286,589.954
2617.286,589.954
2617.286,589.954
2617.223,589.938
2823.586,695.498
2617.281,589.95
2617.223,589.938
2617.223,589.938
2617.384,589.945
2619.425,588.649
2617.223,589.938
2617.232,589.93
2617.223,589.938
2617.223,589.938
2623.431,593.691
2617.223,589.938
2617.223,589.938
2616.411,590.821
2616.411,590.821
2616.411,590.821
2626.783,592.021
2617.86,589.256
2616.411,590.821
2616.403,590.832
2616.383,590.837
2822.533,696.234
2671.091,622.809
2616.383,590.837
2616.379,590.839
2616.379,590.839
2616.379,590.839
2616.379,590.839
2616.61,590.681
2616.393,590.844
2616.982,591.149
2616.379,590.839
2616.379,590.839
2669.334,607.041
2616.379,590.839
2616.278,590.801
2616.278,590.801
2616.278,590.801
